Country,Date,Mobility_Type,Percent_Change,Change
Austria,2020-02-15,Retail & recreation,9,NA
Austria,2020-02-16,Retail & recreation,15,NA
Austria,2020-02-17,Retail & recreation,9,NA
Austria,2020-02-18,Retail & recreation,8,NA
Austria,2020-02-19,Retail & recreation,4,NA
Austria,2020-02-20,Retail & recreation,4,NA
Austria,2020-02-21,Retail & recreation,1,7.142857142857143
Austria,2020-02-22,Retail & recreation,9,7.142857142857143
Austria,2020-02-23,Retail & recreation,4,5.571428571428571
Austria,2020-02-24,Retail & recreation,9,5.571428571428571
Austria,2020-02-25,Retail & recreation,13,6.285714285714286
Austria,2020-02-26,Retail & recreation,-3,5.285714285714286
Austria,2020-02-27,Retail & recreation,1,4.857142857142857
Austria,2020-02-28,Retail & recreation,-1,4.571428571428571
Austria,2020-02-29,Retail & recreation,2,3.5714285714285716
Austria,2020-03-01,Retail & recreation,0,3
Austria,2020-03-02,Retail & recreation,2,2
Austria,2020-03-03,Retail & recreation,-1,0
Austria,2020-03-04,Retail & recreation,2,0.7142857142857143
Austria,2020-03-05,Retail & recreation,1,0.7142857142857143
Austria,2020-03-06,Retail & recreation,-1,0.7142857142857143
Austria,2020-03-07,Retail & recreation,4,1
Austria,2020-03-08,Retail & recreation,14,3
Austria,2020-03-09,Retail & recreation,-1,2.5714285714285716
Austria,2020-03-10,Retail & recreation,-3,2.2857142857142856
Austria,2020-03-11,Retail & recreation,-6,1.1428571428571428
Austria,2020-03-12,Retail & recreation,-10,-0.42857142857142855
Austria,2020-03-13,Retail & recreation,-20,-3.142857142857143
Austria,2020-03-14,Retail & recreation,-35,-8.714285714285714
Austria,2020-03-15,Retail & recreation,-59,-19.142857142857142
Austria,2020-03-16,Retail & recreation,-71,-29.142857142857142
Austria,2020-03-17,Retail & recreation,-79,-40
Austria,2020-03-18,Retail & recreation,-79,-50.42857142857143
Austria,2020-03-19,Retail & recreation,-80,-60.42857142857143
Austria,2020-03-20,Retail & recreation,-81,-69.14285714285714
Austria,2020-03-21,Retail & recreation,-88,-76.71428571428571
Austria,2020-03-22,Retail & recreation,-90,-81.14285714285714
Austria,2020-03-23,Retail & recreation,-79,-82.28571428571429
Austria,2020-03-24,Retail & recreation,-80,-82.42857142857143
Austria,2020-03-25,Retail & recreation,-81,-82.71428571428571
Austria,2020-03-26,Retail & recreation,-81,-82.85714285714286
Austria,2020-03-27,Retail & recreation,-80,-82.71428571428571
Austria,2020-03-28,Retail & recreation,-83,-82
Austria,2020-03-29,Retail & recreation,-87,-81.57142857142857
Austria,2020-03-30,Retail & recreation,-78,-81.42857142857143
Austria,2020-03-31,Retail & recreation,-77,-81
Austria,2020-04-01,Retail & recreation,-77,-80.42857142857143
Austria,2020-04-02,Retail & recreation,-77,-79.85714285714286
Austria,2020-04-03,Retail & recreation,-79,-79.71428571428571
